s_id|p_id|v_id|size|operator
250|1|1|250|op_addInput
250|1|2|250|op_addInput
250|1|3|250|op_rmInput
250|1|4|249|op_rmState
250|1|5|249|op_changeTail
250|1|6|249|op_addInput
250|1|7|249|op_addInput
250|1|8|250|op_addState
250|1|9|250|op_rmInput
250|1|10|249|op_rmState
250|1|11|249|op_rmInput
250|1|12|249|op_rmInput
250|1|13|248|op_rmInput
250|1|14|249|op_addState
250|1|15|249|op_addInput
250|1|16|249|op_rmInput
250|1|17|249|op_changeTail
250|1|18|249|op_addInput
250|1|19|249|op_addInput
250|1|20|249|op_changeTail
250|1|21|249|op_rmInput
250|1|22|249|op_rmInput
250|1|23|250|op_addState
250|1|24|250|op_addInput
250|1|25|250|op_addInput
250|1|26|250|op_rmInput
250|1|27|250|op_rmInput
250|1|28|250|op_changeTail
250|1|29|250|op_changeTail
250|1|30|250|op_addInput
250|1|31|250|op_addInput
250|1|32|249|op_rmState
250|1|33|250|op_addState
250|1|34|249|op_rmState
250|1|35|249|op_rmInput
250|1|36|250|op_addState
250|1|37|250|op_changeTail
250|1|38|251|op_addState
250|1|39|252|op_addState
250|1|40|252|op_addInput
250|1|41|253|op_addState
250|1|42|253|op_rmInput
250|1|43|252|op_rmState
250|1|44|252|op_changeTail
250|1|45|252|op_rmInput
250|1|46|251|op_rmState
250|1|47|250|op_rmState
250|1|48|249|op_rmState
250|1|49|249|op_changeTail
250|1|50|250|op_addState
250|1|51|249|op_rmState
250|1|52|250|op_addState
250|1|53|251|op_addState
250|1|54|251|op_addInput
250|1|55|250|op_rmInput
250|1|56|249|op_rmState
250|1|57|250|op_addState
250|1|58|250|op_changeTail
250|1|59|250|op_addInput
250|1|60|250|op_changeTail
250|1|61|250|op_rmInput
250|1|62|250|op_changeTail
250|1|63|250|op_addInput
250|1|64|250|op_addInput
250|1|65|251|op_addState
250|1|66|251|op_addInput
250|1|67|251|op_changeTail
250|1|68|250|op_rmState
250|1|69|250|op_addInput
250|1|70|250|op_changeTail
250|1|71|250|op_addInput
250|1|72|250|op_changeTail
250|1|73|250|op_rmInput
250|1|74|251|op_addState
250|1|75|251|op_addInput
250|1|76|250|op_rmState
250|1|77|250|op_rmInput
250|1|78|249|op_rmState
250|1|79|249|op_rmInput
250|1|80|249|op_changeTail
250|1|81|248|op_rmInput
250|1|82|248|op_addInput
250|1|83|249|op_addState
250|1|84|250|op_addState
250|1|85|250|op_addInput
250|1|86|250|op_rmInput
250|1|87|251|op_addState
250|1|88|250|op_rmState
250|1|89|249|op_rmState
250|1|90|250|op_addState
250|1|91|250|op_addInput
250|1|92|250|op_rmInput
250|1|93|251|op_addState
250|1|94|250|op_rmState
250|1|95|250|op_addInput
250|1|96|251|op_addState
250|1|97|250|op_rmState
250|1|98|251|op_addState
250|1|99|251|op_changeTail
250|1|100|250|op_rmInput
250|2|1|250|op_addInput
250|2|2|250|op_addInput
250|2|3|250|op_changeTail
250|2|4|250|op_changeTail
250|2|5|249|op_rmState
250|2|6|249|op_changeTail
250|2|7|249|op_addInput
250|2|8|249|op_rmInput
250|2|9|249|op_rmInput
250|2|10|249|op_addInput
250|2|11|250|op_addState
250|2|12|250|op_addInput
250|2|13|250|op_changeTail
250|2|14|250|op_rmInput
250|2|15|250|op_addInput
250|2|16|250|op_changeTail
250|2|17|250|op_rmInput
250|2|18|249|op_rmState
250|2|19|249|op_rmInput
250|2|20|249|op_rmInput
250|2|21|250|op_addState
250|2|22|251|op_addState
250|2|23|251|op_addInput
250|2|24|251|op_rmInput
250|2|25|251|op_rmInput
250|2|26|250|op_rmState
250|2|27|251|op_addState
250|2|28|251|op_changeTail
250|2|29|251|op_changeTail
250|2|30|251|op_changeTail
250|2|31|251|op_changeTail
250|2|32|252|op_addState
250|2|33|252|op_addInput
250|2|34|253|op_addState
250|2|35|254|op_addState
250|2|36|254|op_changeTail
250|2|37|253|op_rmState
250|2|38|254|op_addState
250|2|39|253|op_rmState
250|2|40|252|op_rmState
250|2|41|251|op_rmInput
250|2|42|250|op_rmState
250|2|43|250|op_changeTail
250|2|44|249|op_rmState
250|2|45|249|op_changeTail
250|2|46|249|op_addInput
250|2|47|249|op_changeTail
250|2|48|249|op_addInput
250|2|49|250|op_addState
250|2|50|250|op_rmInput
250|2|51|251|op_addState
250|2|52|251|op_changeTail
250|2|53|251|op_changeTail
250|2|54|251|op_rmInput
250|2|55|252|op_addState
250|2|56|253|op_addState
250|2|57|252|op_rmState
250|2|58|253|op_addState
250|2|59|253|op_addInput
250|2|60|253|op_changeTail
250|2|61|252|op_rmState
250|2|62|253|op_addState
250|2|63|253|op_rmInput
250|2|64|253|op_addInput
250|2|65|253|op_rmInput
250|2|66|253|op_changeTail
250|2|67|254|op_addState
250|2|68|253|op_rmState
250|2|69|253|op_changeTail
250|2|70|252|op_rmState
250|2|71|252|op_addInput
250|2|72|252|op_rmInput
250|2|73|251|op_rmState
250|2|74|252|op_addState
250|2|75|252|op_addInput
