2019-01-30 13:06:41 INFO Infer_LearnLib |SUL name: server_110pre1.dot.kiss
2019-01-30 13:06:41 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/Nordsec16/server_110pre1.dot.kiss
2019-01-30 13:06:41 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/Nordsec16_server/20190130_130529_084307611
2019-01-30 13:06:41 INFO Infer_LearnLib |Seed: 1548860801006
2019-01-30 13:06:41 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:06:41 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:06:41 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:06:41 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:06:41 INFO Infer_LearnLib |Method: TTT
2019-01-30 13:06:41 INFO Experiment |Starting round 1
2019-01-30 13:06:41 INFO Experiment |Learning
2019-01-30 13:06:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:41 INFO Experiment |Searching for counterexample
2019-01-30 13:06:41 INFO Experiment |ApplicationData ApplicationData
2019-01-30 13:06:41 INFO Experiment |Starting round 2
2019-01-30 13:06:41 INFO Experiment |Learning
2019-01-30 13:06:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:41 INFO Experiment |Searching for counterexample
2019-01-30 13:06:41 INFO Experiment |ClientHelloRSAReset ClientHelloRSAReset ApplicationData
2019-01-30 13:06:41 INFO Experiment |Starting round 3
2019-01-30 13:06:41 INFO Experiment |Learning
2019-01-30 13:06:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:41 INFO Experiment |Searching for counterexample
2019-01-30 13:06:41 INFO Experiment |ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec ApplicationData
2019-01-30 13:06:41 INFO Experiment |Starting round 4
2019-01-30 13:06:41 INFO Experiment |Learning
2019-01-30 13:06:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:41 INFO Experiment |Searching for counterexample
2019-01-30 13:06:41 INFO Experiment |ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec ClientKeyExchange ApplicationData
2019-01-30 13:06:41 INFO Experiment |Starting round 5
2019-01-30 13:06:41 INFO Experiment |Learning
2019-01-30 13:06:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:06:41 INFO Experiment |Searching for counterexample
2019-01-30 13:06:41 INFO Infer_LearnLib |Rounds: 5
2019-01-30 13:06:41 INFO Infer_LearnLib |MQ [resets]: 88
2019-01-30 13:06:41 INFO Infer_LearnLib |MQ [symbols]: 298
2019-01-30 13:06:41 INFO Infer_LearnLib |EQ [resets]: 392
2019-01-30 13:06:41 INFO Infer_LearnLib |EQ [symbols]: 1529
2019-01-30 13:06:41 INFO SimpleProfiler |Learning [ms]: 19
2019-01-30 13:06:41 INFO SimpleProfiler |Searching for counterexample [ms]: 68
2019-01-30 13:06:41 INFO Infer_LearnLib |Qsize: 6
2019-01-30 13:06:41 INFO Infer_LearnLib |Isize: 7
2019-01-30 13:06:41 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:06:41 INFO Infer_LearnLib |Info: N/A
