2019-01-30 13:13:41 INFO Infer_LearnLib |SUL name: server_097e.dot.kiss
2019-01-30 13:13:41 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/Nordsec16/server_097e.dot.kiss
2019-01-30 13:13:41 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/Nordsec16_server/20190130_130529_084307611
2019-01-30 13:13:41 INFO Infer_LearnLib |Seed: 1548861221591
2019-01-30 13:13:41 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:13:41 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:13:41 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:13:41 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:13:41 INFO Infer_LearnLib |Method: DL*M_v1
2019-01-30 13:13:41 INFO Infer_LearnLib |Revalidate OT
2019-01-30 13:13:41 INFO Infer_LearnLib |Reading OT: server_098l.dot.ot
2019-01-30 13:13:41 INFO Infer_LearnLib |Revalidate OT
2019-01-30 13:13:41 INFO Infer_LearnLib |revalidateOT2: Begin
2019-01-30 13:13:41 INFO Infer_LearnLib |revalidate using Learner: Begin
2019-01-30 13:13:41 INFO Infer_LearnLib |revalidate using Learner: Stop learning
2019-01-30 13:13:41 INFO Infer_LearnLib |revalidateOT2: Started to search well-formed cover set
2019-01-30 13:13:41 INFO Infer_LearnLib |revalidateOT2: Ended to search well-formed cover set
2019-01-30 13:13:41 INFO Infer_LearnLib |revalidateOT2: Started to copy well-formed cover set
2019-01-30 13:13:41 INFO Infer_LearnLib |revalidateOT2: Ended to copy well-formed cover set
2019-01-30 13:13:41 INFO Infer_LearnLib |revalidateOT2: Started to search experiment cover set
2019-01-30 13:13:42 INFO Infer_LearnLib |revalidateOT2: Ended to search experiment cover set
2019-01-30 13:13:42 INFO Infer_LearnLib |revalidateOT2: Started to copy experiment cover set
2019-01-30 13:13:42 INFO Infer_LearnLib |revalidateOT2: Ended to copy experiment cover set
2019-01-30 13:13:42 INFO Infer_LearnLib |revalidateOT2: End
2019-01-30 13:13:42 INFO Infer_LearnLib |Reused prefixes: 11/11
2019-01-30 13:13:42 INFO Infer_LearnLib |Reused suffixes: 4/7
2019-01-30 13:13:42 INFO Infer_LearnLib |Reused queries [resets]: 613
2019-01-30 13:13:42 INFO Infer_LearnLib |Reused queries [symbols]: 2781
2019-01-30 13:13:42 INFO Experiment |Starting round 1
2019-01-30 13:13:42 INFO Experiment |Learning
2019-01-30 13:13:42 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1f7030a6
2019-01-30 13:13:42 INFO Experiment |Searching for counterexample
2019-01-30 13:13:42 INFO Experiment |ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec Finished ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec Finished ApplicationData
2019-01-30 13:13:42 INFO Experiment |Starting round 2
2019-01-30 13:13:42 INFO Experiment |Learning
2019-01-30 13:13:42 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1f7030a6
2019-01-30 13:13:42 INFO Experiment |Searching for counterexample
2019-01-30 13:13:42 INFO Experiment |ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec Finished ClientHelloRSAReset ClientKeyExchange ChangeCipherSpec Finished ClientHelloRSAReset
2019-01-30 13:13:42 INFO Experiment |Starting round 3
2019-01-30 13:13:42 INFO Experiment |Learning
2019-01-30 13:13:42 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1f7030a6
2019-01-30 13:13:42 INFO Experiment |Searching for counterexample
2019-01-30 13:13:42 INFO Infer_LearnLib |Rounds: 3
2019-01-30 13:13:42 INFO Infer_LearnLib |MQ [resets]: 878
2019-01-30 13:13:42 INFO Infer_LearnLib |MQ [symbols]: 4829
2019-01-30 13:13:42 INFO Infer_LearnLib |EQ [resets]: 6524
2019-01-30 13:13:42 INFO Infer_LearnLib |EQ [symbols]: 40220
2019-01-30 13:13:42 INFO SimpleProfiler |Learning [ms]: 87
2019-01-30 13:13:42 INFO SimpleProfiler |Searching for counterexample [ms]: 179
2019-01-30 13:13:42 INFO Infer_LearnLib |Qsize: 14
2019-01-30 13:13:42 INFO Infer_LearnLib |Isize: 7
2019-01-30 13:13:42 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:13:42 INFO Infer_LearnLib |Info: N/A
