2019-01-30 13:05:37 INFO Infer_LearnLib |SUL name: OpenSSH.dot.fixed.kiss
2019-01-30 13:05:37 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/SSH/OpenSSH.dot.fixed.kiss
2019-01-30 13:05:37 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/SSH/20190130_130529_137622733
2019-01-30 13:05:37 INFO Infer_LearnLib |Seed: 1548860736556
2019-01-30 13:05:37 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:05:37 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:05:37 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:05:37 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:05:37 INFO Infer_LearnLib |Method: L1
2019-01-30 13:05:37 INFO Experiment |Starting round 1
2019-01-30 13:05:37 INFO Experiment |Learning
2019-01-30 13:05:37 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:37 INFO Experiment |Searching for counterexample
2019-01-30 13:05:37 INFO Experiment |CH_OPEN CH_CLOSE
2019-01-30 13:05:37 INFO Experiment |Starting round 2
2019-01-30 13:05:37 INFO Experiment |Learning
2019-01-30 13:05:37 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:37 INFO Experiment |Searching for counterexample
2019-01-30 13:05:37 INFO Experiment |CH_OPEN CH_CLOSE CH_OPEN CH_CLOSE
2019-01-30 13:05:37 INFO Experiment |Starting round 3
2019-01-30 13:05:37 INFO Experiment |Learning
2019-01-30 13:05:37 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:37 INFO Experiment |Searching for counterexample
2019-01-30 13:05:37 INFO Experiment |DEBUG KEX30 KEX30 CH_CLOSE
2019-01-30 13:05:37 INFO Experiment |Starting round 4
2019-01-30 13:05:37 INFO Experiment |Learning
2019-01-30 13:05:37 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:37 INFO Experiment |Searching for counterexample
2019-01-30 13:05:37 INFO Experiment |REKEY CH_OPEN SERVICE_REQUEST_AUTH UA_NONE CH_CLOSE
2019-01-30 13:05:37 INFO Experiment |Starting round 5
2019-01-30 13:05:37 INFO Experiment |Learning
2019-01-30 13:05:37 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:37 INFO Experiment |Searching for counterexample
2019-01-30 13:05:37 INFO Experiment |REKEY SERVICE_REQUEST_AUTH UA_PK_OK CH_OPEN REKEY CH_REQUEST_PTY CH_REQUEST_PTY CH_CLOSE
2019-01-30 13:05:37 INFO Experiment |Starting round 6
2019-01-30 13:05:37 INFO Experiment |Learning
2019-01-30 13:05:37 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:37 INFO Experiment |Searching for counterexample
2019-01-30 13:05:37 INFO Experiment |REKEY SERVICE_REQUEST_AUTH UA_NONE UA_PK_NOK CH_CLOSE
2019-01-30 13:05:37 INFO Experiment |Starting round 7
2019-01-30 13:05:37 INFO Experiment |Learning
2019-01-30 13:05:37 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:37 INFO Experiment |Searching for counterexample
2019-01-30 13:05:38 INFO Experiment |REKEY SERVICE_REQUEST_AUTH UA_PK_OK CH_OPEN REKEY KEXINIT KEX30 NEWKEYS CH_CLOSE
2019-01-30 13:05:38 INFO Experiment |Starting round 8
2019-01-30 13:05:38 INFO Experiment |Learning
2019-01-30 13:05:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:38 INFO Experiment |Searching for counterexample
2019-01-30 13:05:38 INFO Experiment |REKEY SERVICE_REQUEST_AUTH UA_PK_OK CH_OPEN KEXINIT KEX30 NEWKEYS CH_CLOSE
2019-01-30 13:05:38 INFO Experiment |Starting round 9
2019-01-30 13:05:38 INFO Experiment |Learning
2019-01-30 13:05:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:38 INFO Experiment |Searching for counterexample
2019-01-30 13:05:39 INFO Experiment |REKEY SERVICE_REQUEST_AUTH UA_PK_OK REKEY KEXINIT KEX30 NEWKEYS CH_OPEN
2019-01-30 13:05:39 INFO Experiment |Starting round 10
2019-01-30 13:05:39 INFO Experiment |Learning
2019-01-30 13:05:39 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:39 INFO Experiment |Searching for counterexample
2019-01-30 13:05:39 INFO Experiment |REKEY SERVICE_REQUEST_AUTH UA_PK_OK KEXINIT KEX30 NEWKEYS KEX30
2019-01-30 13:05:39 INFO Experiment |Starting round 11
2019-01-30 13:05:39 INFO Experiment |Learning
2019-01-30 13:05:39 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:39 INFO Experiment |Searching for counterexample
2019-01-30 13:05:40 INFO Experiment |REKEY SERVICE_REQUEST_AUTH UA_PK_OK CH_OPEN CH_REQUEST_PTY KEXINIT KEX30 NEWKEYS CH_REQUEST_PTY
2019-01-30 13:05:40 INFO Experiment |Starting round 12
2019-01-30 13:05:40 INFO Experiment |Learning
2019-01-30 13:05:40 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:40 INFO Experiment |Searching for counterexample
2019-01-30 13:05:40 INFO Experiment |REKEY SERVICE_REQUEST_AUTH UA_PK_OK CH_OPEN CH_REQUEST_PTY KEXINIT KEX30 NEWKEYS CH_REQUEST_PTY
2019-01-30 13:05:40 INFO Experiment |Starting round 13
2019-01-30 13:05:40 INFO Experiment |Learning
2019-01-30 13:05:40 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@eec5a4a
2019-01-30 13:05:40 INFO Experiment |Searching for counterexample
2019-01-30 13:05:40 INFO Infer_LearnLib |Rounds: 13
2019-01-30 13:05:40 INFO Infer_LearnLib |MQ [resets]: 7909
2019-01-30 13:05:40 INFO Infer_LearnLib |MQ [symbols]: 54254
2019-01-30 13:05:40 INFO Infer_LearnLib |EQ [resets]: 353412
2019-01-30 13:05:40 INFO Infer_LearnLib |EQ [symbols]: 2605908
2019-01-30 13:05:40 INFO SimpleProfiler |Learning [ms]: 84
2019-01-30 13:05:40 INFO SimpleProfiler |Searching for counterexample [ms]: 3628
2019-01-30 13:05:40 INFO Infer_LearnLib |Qsize: 31
2019-01-30 13:05:40 INFO Infer_LearnLib |Isize: 22
2019-01-30 13:05:40 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:05:40 INFO Infer_LearnLib |Info: N/A
