2019-01-30 13:06:51 INFO Infer_LearnLib |SUL name: SUL_mosquitto.dot.kiss
2019-01-30 13:06:51 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/MQTT/mosquitto/SUL_mosquitto.dot.kiss
2019-01-30 13:06:51 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/MQTT/20190130_130529_090810008
2019-01-30 13:06:51 INFO Infer_LearnLib |Seed: 1548860811377
2019-01-30 13:06:51 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:06:51 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:06:51 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:06:51 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:06:51 INFO Infer_LearnLib |Method: Adaptive
2019-01-30 13:06:51 INFO Infer_LearnLib |Reading OT: SUL_VerneMQ.dot.ot
2019-01-30 13:06:51 INFO Experiment |Starting round 1
2019-01-30 13:06:51 INFO Experiment |Learning
2019-01-30 13:06:51 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@369f73a2
2019-01-30 13:06:51 INFO Experiment |Searching for counterexample
2019-01-30 13:06:51 INFO Infer_LearnLib |Rounds: 1
2019-01-30 13:06:51 INFO Infer_LearnLib |MQ [resets]: 1848
2019-01-30 13:06:51 INFO Infer_LearnLib |MQ [symbols]: 9975
2019-01-30 13:06:51 INFO Infer_LearnLib |EQ [resets]: 0
2019-01-30 13:06:51 INFO Infer_LearnLib |EQ [symbols]: 0
2019-01-30 13:06:51 INFO SimpleProfiler |Learning [ms]: 29
2019-01-30 13:06:51 INFO SimpleProfiler |Searching for counterexample [ms]: 7
2019-01-30 13:06:51 INFO Infer_LearnLib |Qsize: 18
2019-01-30 13:06:51 INFO Infer_LearnLib |Isize: 9
2019-01-30 13:06:51 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:06:51 INFO Infer_LearnLib |Info: N/A
