2019-01-30 13:07:10 INFO Infer_LearnLib |SUL name: SUL_VerneMQ.dot.kiss
2019-01-30 13:07:10 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/MQTT/VerneMQ/SUL_VerneMQ.dot.kiss
2019-01-30 13:07:10 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/MQTT/20190130_130529_090810008
2019-01-30 13:07:10 INFO Infer_LearnLib |Seed: 1548860830518
2019-01-30 13:07:10 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:07:10 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:07:10 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:07:10 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:07:10 INFO Infer_LearnLib |Method: Adaptive
2019-01-30 13:07:10 INFO Infer_LearnLib |Reading OT: SUL_mosquitto.dot.ot
2019-01-30 13:07:10 INFO Experiment |Starting round 1
2019-01-30 13:07:10 INFO Experiment |Learning
2019-01-30 13:07:10 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@369f73a2
2019-01-30 13:07:10 INFO Experiment |Searching for counterexample
2019-01-30 13:07:10 INFO Experiment |ConnectC1WithWill ConnectC2 SubscribeC2 ConnectC1WithWill ConnectC1WithWill ConnectC1WithWill
2019-01-30 13:07:10 INFO Experiment |Starting round 2
2019-01-30 13:07:10 INFO Experiment |Learning
2019-01-30 13:07:10 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@369f73a2
2019-01-30 13:07:10 INFO Experiment |Searching for counterexample
2019-01-30 13:07:10 INFO Infer_LearnLib |Rounds: 2
2019-01-30 13:07:10 INFO Infer_LearnLib |MQ [resets]: 1883
2019-01-30 13:07:10 INFO Infer_LearnLib |MQ [symbols]: 9955
2019-01-30 13:07:10 INFO Infer_LearnLib |EQ [resets]: 865
2019-01-30 13:07:10 INFO Infer_LearnLib |EQ [symbols]: 5018
2019-01-30 13:07:10 INFO SimpleProfiler |Learning [ms]: 34
2019-01-30 13:07:10 INFO SimpleProfiler |Searching for counterexample [ms]: 40
2019-01-30 13:07:10 INFO Infer_LearnLib |Qsize: 17
2019-01-30 13:07:10 INFO Infer_LearnLib |Isize: 9
2019-01-30 13:07:10 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:07:10 INFO Infer_LearnLib |Info: N/A
