2019-01-30 13:06:14 INFO Infer_LearnLib |SUL name: SUL_emqtt.dot.kiss
2019-01-30 13:06:14 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/MQTT/emqtt/SUL_emqtt.dot.kiss
2019-01-30 13:06:14 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/MQTT/20190130_130529_090810008
2019-01-30 13:06:14 INFO Infer_LearnLib |Seed: 1548860774162
2019-01-30 13:06:14 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:06:14 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:06:14 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:06:14 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:06:14 INFO Infer_LearnLib |Method: DL*M_v1
2019-01-30 13:06:14 INFO Infer_LearnLib |Revalidate OT
2019-01-30 13:06:14 INFO Infer_LearnLib |Reading OT: SUL_hbmqtt.dot.ot
2019-01-30 13:06:14 INFO Infer_LearnLib |Revalidate OT
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Begin
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidate using Learner: Begin
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidate using Learner: Stop learning
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Started to search well-formed cover set
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Ended to search well-formed cover set
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Started to copy well-formed cover set
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Ended to copy well-formed cover set
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Started to search experiment cover set
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Ended to search experiment cover set
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Started to copy experiment cover set
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: Ended to copy experiment cover set
2019-01-30 13:06:14 INFO Infer_LearnLib |revalidateOT2: End
2019-01-30 13:06:14 INFO Infer_LearnLib |Reused prefixes: 18/17
2019-01-30 13:06:14 INFO Infer_LearnLib |Reused suffixes: 5/12
2019-01-30 13:06:14 INFO Infer_LearnLib |Reused queries [resets]: 2317
2019-01-30 13:06:14 INFO Infer_LearnLib |Reused queries [symbols]: 19019
2019-01-30 13:06:14 INFO Experiment |Starting round 1
2019-01-30 13:06:14 INFO Experiment |Learning
2019-01-30 13:06:14 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@281e3708
2019-01-30 13:06:14 INFO Experiment |Searching for counterexample
2019-01-30 13:06:14 INFO Infer_LearnLib |Rounds: 1
2019-01-30 13:06:14 INFO Infer_LearnLib |MQ [resets]: 2317
2019-01-30 13:06:14 INFO Infer_LearnLib |MQ [symbols]: 19019
2019-01-30 13:06:14 INFO Infer_LearnLib |EQ [resets]: 0
2019-01-30 13:06:14 INFO Infer_LearnLib |EQ [symbols]: 0
2019-01-30 13:06:14 INFO SimpleProfiler |Learning [ms]: 40
2019-01-30 13:06:14 INFO SimpleProfiler |Searching for counterexample [ms]: 3
2019-01-30 13:06:14 INFO Infer_LearnLib |Qsize: 18
2019-01-30 13:06:14 INFO Infer_LearnLib |Isize: 9
2019-01-30 13:06:14 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:06:14 INFO Infer_LearnLib |Info: N/A
