2019-01-30 13:06:38 INFO Infer_LearnLib |SUL name: SUL_hbmqtt.dot.kiss
2019-01-30 13:06:38 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/MQTT/hbmqtt/SUL_hbmqtt.dot.kiss
2019-01-30 13:06:38 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/MQTT/20190130_130529_090810008
2019-01-30 13:06:38 INFO Infer_LearnLib |Seed: 1548860798336
2019-01-30 13:06:38 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:06:38 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:06:38 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:06:38 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:06:38 INFO Infer_LearnLib |Method: DL*M_v2
2019-01-30 13:06:38 INFO Infer_LearnLib |Reading OT: SUL_VerneMQ.dot.ot
2019-01-30 13:06:38 INFO Experiment |Starting round 1
2019-01-30 13:06:38 INFO Experiment |Learning
2019-01-30 13:06:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:06:38 INFO Experiment |Searching for counterexample
2019-01-30 13:06:38 INFO Experiment |ConnectC1WithWill ConnectC2 SubscribeC2 DeleteRetainedC1 ConnectC1WithWill
2019-01-30 13:06:38 INFO Experiment |Starting round 2
2019-01-30 13:06:38 INFO Experiment |Learning
2019-01-30 13:06:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:06:38 INFO Experiment |Searching for counterexample
2019-01-30 13:06:38 INFO Experiment |ConnectC1WithWill ConnectC2 SubscribeC2 DisconnectC1 ConnectC1WithWill DeleteRetainedC1
2019-01-30 13:06:38 INFO Experiment |Starting round 3
2019-01-30 13:06:38 INFO Experiment |Learning
2019-01-30 13:06:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:06:38 INFO Experiment |Searching for counterexample
2019-01-30 13:06:38 INFO Experiment |ConnectC2 ConnectC1WithWillRetain DisconnectTCPC1 SubscribeC2 ConnectC1WithWill
2019-01-30 13:06:38 INFO Experiment |Starting round 4
2019-01-30 13:06:38 INFO Experiment |Learning
2019-01-30 13:06:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:06:38 INFO Experiment |Searching for counterexample
2019-01-30 13:06:38 INFO Experiment |ConnectC1WithWillRetain ConnectC2 DisconnectTCPC1 SubscribeC2
2019-01-30 13:06:38 INFO Experiment |Starting round 5
2019-01-30 13:06:38 INFO Experiment |Learning
2019-01-30 13:06:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:06:38 INFO Experiment |Searching for counterexample
2019-01-30 13:06:38 INFO Experiment |ConnectC1WithWillRetain ConnectC2 DisconnectTCPC1 SubscribeC2 ConnectC1WithWill DeleteRetainedC1 ConnectC2 DisconnectTCPC1 SubscribeC2
2019-01-30 13:06:38 INFO Experiment |Starting round 6
2019-01-30 13:06:38 INFO Experiment |Learning
2019-01-30 13:06:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:06:38 INFO Experiment |Searching for counterexample
2019-01-30 13:06:38 INFO Experiment |ConnectC1WithWillRetain DisconnectTCPC1 ConnectC1WithWillRetain ConnectC2 SubscribeC2
2019-01-30 13:06:38 INFO Experiment |Starting round 7
2019-01-30 13:06:38 INFO Experiment |Learning
2019-01-30 13:06:38 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@1d16f93d
2019-01-30 13:06:38 INFO Experiment |Searching for counterexample
2019-01-30 13:06:38 INFO Infer_LearnLib |Rounds: 7
2019-01-30 13:06:38 INFO Infer_LearnLib |MQ [resets]: 1055
2019-01-30 13:06:38 INFO Infer_LearnLib |MQ [symbols]: 6229
2019-01-30 13:06:38 INFO Infer_LearnLib |EQ [resets]: 8345
2019-01-30 13:06:38 INFO Infer_LearnLib |EQ [symbols]: 46868
2019-01-30 13:06:38 INFO SimpleProfiler |Learning [ms]: 27
2019-01-30 13:06:38 INFO SimpleProfiler |Searching for counterexample [ms]: 126
2019-01-30 13:06:38 INFO Infer_LearnLib |Qsize: 17
2019-01-30 13:06:38 INFO Infer_LearnLib |Isize: 9
2019-01-30 13:06:38 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:06:38 INFO Infer_LearnLib |Info: N/A
