2019-01-30 13:09:57 INFO Infer_LearnLib |SUL name: client_101.dot.kiss
2019-01-30 13:09:57 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/Nordsec16/client_101.dot.kiss
2019-01-30 13:09:57 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/Nordsec16_client/20190130_130529_084307611
2019-01-30 13:09:57 INFO Infer_LearnLib |Seed: 1548860997557
2019-01-30 13:09:57 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:09:57 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:09:57 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:09:57 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:09:57 INFO Infer_LearnLib |Method: DL*M_v0
2019-01-30 13:09:57 INFO Infer_LearnLib |Revalidate OT
2019-01-30 13:09:57 INFO Infer_LearnLib |Reading OT: client_098za.dot.ot
2019-01-30 13:09:57 INFO Infer_LearnLib |Revalidate OT
2019-01-30 13:09:57 INFO Infer_LearnLib |revalidateOT2: Begin
2019-01-30 13:09:57 INFO Infer_LearnLib |revalidate using GenericObservationTable: Begin
2019-01-30 13:09:57 INFO Infer_LearnLib |revalidate using GenericObservationTable: Stop learning
2019-01-30 13:09:57 INFO Infer_LearnLib |revalidateOT2: Started to search well-formed cover set
2019-01-30 13:09:57 INFO Infer_LearnLib |revalidateOT2: Ended to search well-formed cover set
2019-01-30 13:09:57 INFO Infer_LearnLib |revalidateOT2: Started to copy well-formed cover set
2019-01-30 13:09:57 INFO Infer_LearnLib |revalidateOT2: Ended to copy well-formed cover set
2019-01-30 13:09:57 INFO Infer_LearnLib |revalidateOT2: Started to search experiment cover set
2019-01-30 13:09:58 INFO Infer_LearnLib |revalidateOT2: Ended to search experiment cover set
2019-01-30 13:09:58 INFO Infer_LearnLib |revalidateOT2: Started to copy experiment cover set
2019-01-30 13:09:58 INFO Infer_LearnLib |revalidateOT2: Ended to copy experiment cover set
2019-01-30 13:09:58 INFO Infer_LearnLib |revalidateOT2: End
2019-01-30 13:09:58 INFO Infer_LearnLib |Reused prefixes: 7/7
2019-01-30 13:09:58 INFO Infer_LearnLib |Reused suffixes: 3/8
2019-01-30 13:09:58 INFO Infer_LearnLib |Reused queries [resets]: 456
2019-01-30 13:09:58 INFO Infer_LearnLib |Reused queries [symbols]: 1928
2019-01-30 13:09:58 INFO Experiment |Starting round 1
2019-01-30 13:09:58 INFO Experiment |Learning
2019-01-30 13:09:58 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@4973813a
2019-01-30 13:09:58 INFO Experiment |Searching for counterexample
2019-01-30 13:09:58 INFO Experiment |ServerHelloRSA ChangeCipherSpec ChangeCipherSpec
2019-01-30 13:09:58 INFO Experiment |Starting round 2
2019-01-30 13:09:58 INFO Experiment |Learning
2019-01-30 13:09:58 INFO Experiment |net.automatalib.automata.transout.impl.compact.CompactMealy@4973813a
2019-01-30 13:09:58 INFO Experiment |Searching for counterexample
2019-01-30 13:09:58 INFO Infer_LearnLib |Rounds: 2
2019-01-30 13:09:58 INFO Infer_LearnLib |MQ [resets]: 615
2019-01-30 13:09:58 INFO Infer_LearnLib |MQ [symbols]: 2883
2019-01-30 13:09:58 INFO Infer_LearnLib |EQ [resets]: 128
2019-01-30 13:09:58 INFO Infer_LearnLib |EQ [symbols]: 553
2019-01-30 13:09:58 INFO SimpleProfiler |Learning [ms]: 42
2019-01-30 13:09:58 INFO SimpleProfiler |Searching for counterexample [ms]: 37
2019-01-30 13:09:58 INFO Infer_LearnLib |Qsize: 12
2019-01-30 13:09:58 INFO Infer_LearnLib |Isize: 8
2019-01-30 13:09:58 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:09:58 INFO Infer_LearnLib |Info: N/A
