2019-01-30 13:05:41 INFO Infer_LearnLib |SUL name: client_098za.dot.kiss
2019-01-30 13:05:41 INFO Infer_LearnLib |SUL dir: /home/damascdn/remote_euler/Benchmark/Nordsec16/client_098za.dot.kiss
2019-01-30 13:05:41 INFO Infer_LearnLib |Output dir: /home/damascdn/remote_euler/Nordsec16_client/20190130_130529_084307611
2019-01-30 13:05:41 INFO Infer_LearnLib |Seed: 1548860741405
2019-01-30 13:05:41 INFO Infer_LearnLib |Cache: Y
2019-01-30 13:05:41 INFO Infer_LearnLib |ClosingStrategy: CloseFirst
2019-01-30 13:05:41 INFO Infer_LearnLib |ObservationTableCEXHandler: RivestSchapire
2019-01-30 13:05:41 INFO Infer_LearnLib |EquivalenceOracle: WpMethodHypEQOracle(2)
2019-01-30 13:05:41 INFO Infer_LearnLib |Method: TTT
2019-01-30 13:05:41 INFO Experiment |Starting round 1
2019-01-30 13:05:41 INFO Experiment |Learning
2019-01-30 13:05:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:05:41 INFO Experiment |Searching for counterexample
2019-01-30 13:05:41 INFO Experiment |ApplicationData ApplicationData
2019-01-30 13:05:41 INFO Experiment |Starting round 2
2019-01-30 13:05:41 INFO Experiment |Learning
2019-01-30 13:05:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:05:41 INFO Experiment |Searching for counterexample
2019-01-30 13:05:41 INFO Experiment |ServerHelloRSA EmptyCertificate ApplicationData
2019-01-30 13:05:41 INFO Experiment |Starting round 3
2019-01-30 13:05:41 INFO Experiment |Learning
2019-01-30 13:05:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:05:41 INFO Experiment |Searching for counterexample
2019-01-30 13:05:41 INFO Experiment |ServerHelloRSA ServerCertificate ServerHelloDone ApplicationData
2019-01-30 13:05:41 INFO Experiment |Starting round 4
2019-01-30 13:05:41 INFO Experiment |Learning
2019-01-30 13:05:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:05:41 INFO Experiment |Searching for counterexample
2019-01-30 13:05:41 INFO Experiment |ServerHelloRSA ServerCertificate ServerHelloDone ChangeCipherSpec ApplicationData
2019-01-30 13:05:41 INFO Experiment |Starting round 5
2019-01-30 13:05:41 INFO Experiment |Learning
2019-01-30 13:05:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:05:41 INFO Experiment |Searching for counterexample
2019-01-30 13:05:41 INFO Experiment |ServerHelloRSA ServerCertificate ServerHelloDone ChangeCipherSpec Finished ApplicationData
2019-01-30 13:05:41 INFO Experiment |Starting round 6
2019-01-30 13:05:41 INFO Experiment |Learning
2019-01-30 13:05:41 INFO Experiment |de.learnlib.algorithms.ttt.mealy.TTTHypothesisMealy@5ae63ade
2019-01-30 13:05:41 INFO Experiment |Searching for counterexample
2019-01-30 13:05:41 INFO Infer_LearnLib |Rounds: 6
2019-01-30 13:05:41 INFO Infer_LearnLib |MQ [resets]: 120
2019-01-30 13:05:41 INFO Infer_LearnLib |MQ [symbols]: 460
2019-01-30 13:05:41 INFO Infer_LearnLib |EQ [resets]: 829
2019-01-30 13:05:41 INFO Infer_LearnLib |EQ [symbols]: 3541
2019-01-30 13:05:41 INFO SimpleProfiler |Learning [ms]: 14
2019-01-30 13:05:41 INFO SimpleProfiler |Searching for counterexample [ms]: 55
2019-01-30 13:05:41 INFO Infer_LearnLib |Qsize: 7
2019-01-30 13:05:41 INFO Infer_LearnLib |Isize: 8
2019-01-30 13:05:41 INFO Infer_LearnLib |Equivalent: OK
2019-01-30 13:05:41 INFO Infer_LearnLib |Info: N/A
